Age,Gender,Education Level,Job Title,Years of Experience,City,Salary
42.0,Male,Bachelor's,Business Analyst,9.3,New York,96316.84
33.0,Male,Master's,Financial Analyst,5.9,Boston,111111.73
34.0,Female,High School,Sales Executive,2.1,Denver,57366.17
36.0,Male,Bachelor's,UX Designer,6.8,New York,102489.04
40.0,Male,Master's,Data Analyst,6.4,Austin,82757.37
35.0,Female,Bachelor's,UX Designer,12.2,Chicago,100154.83
35.0,Female,Bachelor's,Product Manager,10.7,San Francisco,125896.34
31.0,Female,PhD,Marketing Manager,9.5,San Francisco,142890.62
41.0,Male,PhD,Data Analyst,15.4,Seattle,139364.72
22.0,Female,Bachelor's,Sales Executive,1.0,Boston,76078.83
36.0,Female,Bachelor's,Customer Support Specialist,9.7,Austin,88163.17
43.0,Male,High School,Product Manager,11.0,Austin,90281.88
27.0,Male,Master's,Research Scientist,3.4,Seattle,112104.26
35.0,Male,Bachelor's,Operations Manager,3.9,Denver,82231.39
38.0,Male,,Operations Manager,10.7,New York,120257.69
33.0,,High School,Customer Support Specialist,7.6,Boston,61126.56
36.0,Male,Master's,Customer Support Specialist,8.2,Remote,71309.27
31.0,Male,PhD,Business Analyst,6.2,San Francisco,130191.54
27.0,Female,High School,Software Engineer,4.0,Denver,58602.91
42.0,Female,Master's,Operations Manager,11.6,Remote,114713.2
36.0,Male,Master's,Product Manager,8.6,Seattle,131250.37
34.0,Female,High School,DevOps Engineer,11.3,New York,89117.47
41.0,Female,Master's,Operations Manager,10.3,New York,115238.44
30.0,Male,Master's,Data Scientist,9.0,Austin,124670.81
48.0,Male,Bachelor's,DevOps Engineer,15.4,New York,118258.73
55.0,Female,Bachelor's,Research Scientist,18.3,Seattle,142715.35
42.0,Male,Master's,Product Manager,12.8,Remote,117481.1
52.0,Male,High School,UX Designer,14.0,Austin,84306.62
21.0,Female,PhD,UX Designer,0.0,San Francisco,115153.1
39.0,Male,Master's,Business Analyst,14.5,Austin,95649.4
52.0,Female,Bachelor's,Data Analyst,18.1,Seattle,111935.27
38.0,Male,Bachelor's,Software Engineer,9.6,Chicago,98643.91
31.0,Female,Bachelor's,Marketing Manager,4.2,Boston,84042.46
31.0,Male,Bachelor's,Financial Analyst,6.4,Seattle,76291.37
23.0,Female,Master's,Operations Manager,1.2,Denver,80532.21
21.0,Female,Bachelor's,Financial Analyst,0.0,Austin,52772.08
38.0,Male,High School,Software Engineer,10.8,Austin,82496.01
21.0,Male,PhD,Product Manager,0.0,Chicago,120537.34
21.0,Male,PhD,Project Manager,0.0,Boston,119011.11
30.0,Female,High School,UX Designer,0.0,Seattle,56079.84
35.0,Female,Master's,Customer Support Specialist,11.3,Denver,90115.4
35.0,Female,Bachelor's,Financial Analyst,5.4,Boston,93020.86
22.0,Male,PhD,Customer Support Specialist,0.0,Atlanta,91720.0
31.0,Male,PhD,HR Manager,5.1,Chicago,113755.3
34.0,Male,Bachelor's,Software Engineer,10.1,New York,115199.78
24.0,Female,High School,Customer Support Specialist,3.0,Boston,53270.03
21.0,Female,High School,Business Analyst,0.0,Remote,44387.84
37.0,Male,Bachelor's,Operations Manager,7.7,Austin,93012.8
52.0,Female,Master's,Operations Manager,19.1,San Francisco,153264.98
29.0,Female,Master's,Data Analyst,1.8,San Francisco,103009.43
28.0,Female,High School,DevOps Engineer,5.9,Austin,82780.45
53.0,Male,PhD,Software Engineer,18.7,Remote,133835.72
57.0,Male,Bachelor's,Product Manager,15.6,Atlanta,119351.28
38.0,Female,Master's,Marketing Manager,6.8,Remote,84465.92
28.0,Male,PhD,Research Scientist,0.2,Atlanta,110676.4
30.0,Male,Bachelor's,Research Scientist,9.0,Chicago,93432.36
38.0,Female,Master's,DevOps Engineer,11.9,Austin,112151.75
46.0,Male,Master's,Sales Executive,17.9,Atlanta,123307.95
25.0,Female,Master's,DevOps Engineer,1.2,Remote,97898.98
32.0,Female,Bachelor's,Customer Support Specialist,5.8,Remote,49135.71
39.0,Female,Master's,Business Analyst,6.8,Atlanta,95910.9
21.0,Female,Bachelor's,HR Manager,0.0,Seattle,78444.29
24.0,Female,Bachelor's,DevOps Engineer,2.2,Boston,77261.64
56.0,Female,Master's,Customer Support Specialist,20.2,San Francisco,133340.23
32.0,Female,Master's,Operations Manager,2.7,Chicago,92311.86
23.0,Male,Master's,Operations Manager,0.0,Austin,85586.95
27.0,Female,Master's,Customer Support Specialist,1.2,Denver,78695.22
48.0,Female,Bachelor's,UX Designer,18.0,Atlanta,88715.52
48.0,Female,Master's,UX Designer,20.2,San Francisco,144935.33
26.0,Male,Bachelor's,Sales Executive,5.0,Seattle,73852.74
23.0,Male,Bachelor's,Sales Executive,1.7,Boston,64399.42
38.0,Female,Bachelor's,Marketing Manager,9.4,Atlanta,83007.54
34.0,Male,Bachelor's,HR Manager,8.3,Denver,67602.6
33.0,Female,Master's,Operations Manager,9.4,San Francisco,120347.14
41.0,Male,Bachelor's,Product Manager,9.0,Atlanta,97951.47
34.0,Male,Master's,Business Analyst,8.7,Seattle,103664.07
38.0,Male,Master's,Financial Analyst,12.4,Austin,114546.1
40.0,,High School,UX Designer,13.7,Atlanta,79974.76
41.0,Female,Bachelor's,Marketing Manager,11.8,San Francisco,118512.67
21.0,Female,Master's,DevOps Engineer,0.0,San Francisco,109061.41
41.0,Male,Bachelor's,Research Scientist,13.4,Atlanta,100571.52
22.0,Female,Bachelor's,Software Engineer,0.0,Remote,64112.65
41.0,Female,Master's,Customer Support Specialist,18.5,San Francisco,114613.22
34.0,Female,Bachelor's,Business Analyst,5.8,Boston,89874.12
31.0,Male,Bachelor's,Software Engineer,1.8,Chicago,73429.23
34.0,,Master's,HR Manager,11.2,Austin,97235.38
50.0,Female,High School,Customer Support Specialist,18.5,Boston,96836.39
25.0,Female,PhD,Customer Support Specialist,1.2,New York,101659.94
42.0,Male,Master's,Product Manager,13.5,Chicago,137383.93
21.0,Male,Bachelor's,Customer Support Specialist,0.0,Atlanta,50571.39
42.0,Female,Master's,Product Manager,12.8,Remote,134380.57
52.0,Male,Bachelor's,DevOps Engineer,23.1,Denver,128576.25
45.0,Male,PhD,Project Manager,13.3,Chicago,131290.83
43.0,Male,Bachelor's,UX Designer,15.4,San Francisco,129679.89
30.0,Male,Master's,Business Analyst,6.2,Atlanta,86320.94
45.0,Male,Bachelor's,Sales Executive,14.0,Remote,71848.47
34.0,Male,Bachelor's,Project Manager,3.5,Denver,82189.55
25.0,Female,High School,Operations Manager,1.5,Remote,47740.76
42.0,Male,Bachelor's,DevOps Engineer,6.5,Seattle,99634.26
22.0,Female,Master's,Financial Analyst,1.0,San Francisco,107899.97
31.0,Male,Master's,Product Manager,7.3,Chicago,101002.57
36.0,Male,High School,Business Analyst,7.2,Seattle,74327.33
41.0,Male,High School,Financial Analyst,10.9,Chicago,79381.9
36.0,Male,Bachelor's,Data Analyst,9.5,Austin,75877.8
42.0,Female,Bachelor's,Business Analyst,17.8,Chicago,113466.49
29.0,Female,Master's,Product Manager,6.0,Seattle,111659.16
35.0,Male,High School,Data Analyst,13.4,New York,93139.8
47.0,Male,Bachelor's,Software Engineer,13.3,Atlanta,90604.85
31.0,Female,Bachelor's,Operations Manager,4.7,Chicago,87948.74
25.0,Male,Bachelor's,HR Manager,2.3,New York,78767.79
48.0,Male,Bachelor's,Sales Executive,16.9,Boston,99600.14
45.0,Male,Master's,DevOps Engineer,12.0,Austin,126939.47
36.0,Male,Bachelor's,HR Manager,7.8,Boston,79361.14
36.0,Female,Bachelor's,Product Manager,3.7,New York,97800.93
27.0,Female,PhD,Customer Support Specialist,3.1,Seattle,117679.38
36.0,Male,Bachelor's,Financial Analyst,7.8,New York,94696.43
43.0,Female,Bachelor's,DevOps Engineer,13.6,Denver,94549.77
,Male,PhD,Customer Support Specialist,8.8,Boston,108898.27
40.0,Male,Bachelor's,Software Engineer,14.4,Austin,114827.36
21.0,Female,Master's,Financial Analyst,0.0,New York,102734.56
32.0,Female,Master's,Operations Manager,6.9,New York,110138.84
33.0,Female,Master's,Customer Support Specialist,10.1,Atlanta,92527.2
36.0,,Master's,Operations Manager,4.2,New York,103887.5
32.0,Male,Master's,Data Scientist,5.8,New York,125840.74
32.0,Female,Bachelor's,UX Designer,0.0,Remote,69016.54
38.0,Male,Master's,Project Manager,7.3,San Francisco,125171.4
40.0,Male,Bachelor's,HR Manager,10.3,Chicago,87692.89
41.0,Male,Bachelor's,DevOps Engineer,10.9,Austin,98573.94
39.0,Male,Bachelor's,UX Designer,11.5,Remote,80179.97
47.0,Female,Master's,Project Manager,16.0,Seattle,141412.5
36.0,Female,Master's,Business Analyst,9.0,San Francisco,108574.8
33.0,Female,PhD,Product Manager,8.3,Austin,135418.03
28.0,Female,PhD,Project Manager,7.0,Boston,130324.45
37.0,Female,Bachelor's,Software Engineer,4.7,Atlanta,81372.68
27.0,Female,Bachelor's,Research Scientist,6.0,Austin,82920.19
29.0,Male,Bachelor's,Operations Manager,0.0,Chicago,65825.5
28.0,Male,Bachelor's,Sales Executive,5.7,Remote,82951.86
35.0,Male,Bachelor's,Business Analyst,9.2,Chicago,87610.8
42.0,Female,Master's,Project Manager,12.6,Denver,115026.3
34.0,Male,PhD,Software Engineer,7.5,Denver,115532.82
39.0,Female,Master's,Operations Manager,7.5,Denver,98655.45
35.0,Male,PhD,Software Engineer,6.3,New York,136871.84
28.0,Female,High School,Software Engineer,3.3,Chicago,69872.37
37.0,Female,Bachelor's,Sales Executive,9.5,Atlanta,75876.49
21.0,Male,Bachelor's,Data Scientist,0.0,Denver,74866.82
27.0,Female,Bachelor's,Financial Analyst,4.3,Boston,77087.57
55.0,Male,Bachelor's,HR Manager,14.5,Austin,86482.21
26.0,Female,Bachelor's,Project Manager,0.8,Remote,79048.72
36.0,Male,Bachelor's,Marketing Manager,6.0,Denver,80320.09
32.0,Female,Bachelor's,Data Analyst,2.5,Remote,66405.88
28.0,Female,Bachelor's,Research Scientist,5.0,San Francisco,97112.73
45.0,Male,Bachelor's,Data Analyst,12.6,Austin,105509.56
43.0,Female,High School,Customer Support Specialist,11.0,Remote,61149.56
22.0,Female,Master's,Financial Analyst,1.0,San Francisco,107899.97
39.0,Male,Master's,Project Manager,10.1,Austin,110222.8
39.0,Female,Bachelor's,HR Manager,6.8,Atlanta,59164.16
27.0,Male,Bachelor's,Customer Support Specialist,4.8,Seattle,61497.17
39.0,Female,Master's,Customer Support Specialist,12.0,Remote,90116.13
26.0,Male,Bachelor's,Business Analyst,5.0,Atlanta,68394.19
22.0,Male,PhD,Financial Analyst,1.0,San Francisco,115678.03
25.0,Female,Bachelor's,Marketing Manager,0.7,Denver,65886.09
39.0,Male,Master's,Customer Support Specialist,4.6,Seattle,92357.8
50.0,Male,Bachelor's,DevOps Engineer,14.7,Seattle,117317.59
27.0,Female,Master's,HR Manager,0.0,Austin,76644.27
47.0,Female,Bachelor's,Data Scientist,17.7,Boston,130811.31
39.0,Female,,Operations Manager,12.9,Seattle,126327.37
35.0,Male,Bachelor's,UX Designer,9.2,Austin,87717.92
38.0,Male,Master's,Project Manager,8.2,Austin,102179.71
36.0,Male,Master's,Software Engineer,8.3,Seattle,126539.23
33.0,Male,Bachelor's,Product Manager,2.2,Chicago,91443.21
38.0,Male,Bachelor's,Product Manager,12.0,Denver,113188.38
29.0,Male,Bachelor's,HR Manager,7.0,Remote,69946.65
42.0,Male,Bachelor's,Customer Support Specialist,9.8,Austin,67266.18
24.0,Female,Bachelor's,UX Designer,0.0,San Francisco,78804.43
31.0,Female,Bachelor's,Business Analyst,6.6,Austin,86711.09
37.0,Male,Master's,Operations Manager,4.3,Boston,96252.53
26.0,Male,Bachelor's,Customer Support Specialist,0.0,Atlanta,37841.55
24.0,Male,High School,Research Scientist,2.8,Chicago,66574.24
26.0,Female,Master's,Marketing Manager,5.0,Seattle,101898.18
37.0,Male,Bachelor's,Software Engineer,11.8,San Francisco,119613.49
34.0,Female,,Software Engineer,9.6,Boston,101581.45
31.0,Female,Bachelor's,Sales Executive,6.9,Atlanta,64291.95
,Female,Master's,Sales Executive,0.0,Austin,80831.8
36.0,Female,PhD,Financial Analyst,15.0,San Francisco,138539.34
44.0,Male,High School,Product Manager,14.4,Boston,108159.01
42.0,Female,Bachelor's,Data Analyst,15.6,Denver,86498.96
33.0,Female,High School,Business Analyst,5.6,San Francisco,90362.84
36.0,Male,Master's,Research Scientist,12.8,New York,134947.14
41.0,Female,High School,DevOps Engineer,10.4,Atlanta,87603.42
24.0,Male,Master's,Project Manager,1.9,Austin,90550.46
30.0,Male,Master's,Research Scientist,5.6,Seattle,107015.1
21.0,Male,Master's,Customer Support Specialist,0.0,Boston,71180.17
32.0,Female,High School,Product Manager,9.8,New York,93215.11
22.0,Female,Bachelor's,Product Manager,0.0,San Francisco,99032.84
21.0,Male,Bachelor's,Marketing Manager,0.0,Chicago,76252.69
33.0,Male,Master's,Customer Support Specialist,9.0,Boston,99580.51
32.0,Male,Bachelor's,Data Analyst,6.5,San Francisco,97436.78
45.0,Male,High School,DevOps Engineer,13.4,Austin,104246.98
39.0,Female,PhD,UX Designer,7.5,New York,133983.91
34.0,Male,Bachelor's,Financial Analyst,6.9,Austin,82364.12
41.0,Female,High School,Project Manager,9.8,Atlanta,78854.63
33.0,Female,Bachelor's,DevOps Engineer,8.1,Seattle,103748.83
29.0,Male,Bachelor's,DevOps Engineer,0.8,Remote,66797.11
29.0,Male,Master's,HR Manager,,Austin,84025.27
41.0,Male,Bachelor's,Marketing Manager,11.6,Denver,98689.44
37.0,Male,Bachelor's,UX Designer,6.5,Remote,64691.54
22.0,Male,Bachelor's,Marketing Manager,0.3,Denver,75120.4
29.0,Male,Bachelor's,Project Manager,7.0,Boston,79354.84
41.0,Female,Bachelor's,Customer Support Specialist,12.3,Boston,98194.74
61.0,Female,,UX Designer,18.8,Boston,122080.43
30.0,Male,Master's,Data Scientist,2.4,Remote,90084.26
31.0,Male,High School,Business Analyst,7.4,Remote,57937.59
33.0,Male,Bachelor's,Marketing Manager,12.0,San Francisco,103392.98
55.0,Male,High School,Marketing Manager,20.5,San Francisco,114350.18
36.0,Female,Bachelor's,Project Manager,11.6,New York,108634.2
40.0,Male,PhD,Data Analyst,10.3,San Francisco,148242.33
36.0,Female,Master's,Research Scientist,8.4,Chicago,112844.15
36.0,Male,,Project Manager,12.8,Remote,98915.48
40.0,,High School,Software Engineer,7.9,New York,88148.92
52.0,Female,High School,Software Engineer,15.7,Atlanta,85726.11
40.0,Female,Master's,Operations Manager,14.0,Seattle,137708.13
47.0,Male,Master's,UX Designer,10.4,New York,129826.75
45.0,Male,Bachelor's,Sales Executive,20.7,Chicago,92696.18
46.0,Male,Bachelor's,Software Engineer,14.3,Atlanta,104535.06
53.0,Female,Master's,Business Analyst,16.3,Remote,111132.49
31.0,Male,Master's,Software Engineer,7.4,Denver,100805.13
21.0,Male,Master's,Data Analyst,0.0,Boston,85063.9
38.0,Male,High School,Marketing Manager,11.7,San Francisco,86394.07
35.0,,Master's,Project Manager,13.0,Remote,117322.95
29.0,Male,High School,Operations Manager,3.8,New York,90758.35
25.0,Female,Bachelor's,Product Manager,0.0,Denver,77281.63
34.0,,Bachelor's,Data Analyst,9.8,Chicago,77884.56
28.0,Male,Bachelor's,Business Analyst,1.3,Denver,64794.97
36.0,Male,Bachelor's,Project Manager,5.9,New York,96877.1
,Female,Bachelor's,Research Scientist,,Denver,74247.83
37.0,Female,Master's,Research Scientist,15.6,Atlanta,134765.94
45.0,Male,Bachelor's,Product Manager,18.4,Atlanta,116054.19
40.0,Female,PhD,Data Scientist,9.7,New York,156925.47
39.0,Female,Master's,Customer Support Specialist,9.3,San Francisco,101614.5
43.0,Male,Bachelor's,Sales Executive,14.8,Boston,103383.94
39.0,Male,Master's,UX Designer,5.7,Atlanta,88740.57
38.0,Female,Master's,Sales Executive,9.6,Denver,94249.11
26.0,Male,Master's,HR Manager,4.5,Remote,72131.78
40.0,Male,Master's,Marketing Manager,11.5,New York,117352.72
52.0,Female,PhD,Operations Manager,21.8,Chicago,162817.38
31.0,Female,Bachelor's,Product Manager,3.0,San Francisco,108301.21
29.0,Male,Bachelor's,DevOps Engineer,8.0,Remote,83413.49
49.0,Male,Master's,Data Analyst,16.8,Boston,117349.93
29.0,Male,Master's,Software Engineer,4.6,New York,113769.63
21.0,Male,Master's,Data Analyst,0.0,Chicago,69596.96
38.0,Male,Bachelor's,Software Engineer,11.8,Atlanta,94896.42
21.0,Male,Bachelor's,DevOps Engineer,0.0,Austin,90947.74
55.0,Female,Bachelor's,Sales Executive,15.1,Remote,89922.79
26.0,Female,Bachelor's,Product Manager,2.9,Chicago,89129.85
28.0,Female,High School,Financial Analyst,6.1,Austin,60552.95
32.0,Male,High School,Data Analyst,5.3,Chicago,64194.44
39.0,Female,Master's,HR Manager,7.7,Remote,81590.24
36.0,Female,Bachelor's,HR Manager,12.9,Remote,81687.19
,Female,High School,Data Scientist,5.3,Atlanta,88058.87
39.0,Female,High School,Business Analyst,11.7,Atlanta,86507.55
21.0,Female,Bachelor's,Marketing Manager,0.0,New York,76445.23
43.0,Male,PhD,UX Designer,11.0,Seattle,137602.14
36.0,Male,High School,DevOps Engineer,8.6,Chicago,78028.09
23.0,Male,Bachelor's,Business Analyst,2.0,Remote,61327.12
29.0,Female,Bachelor's,UX Designer,4.0,Austin,79117.72
40.0,Female,,Customer Support Specialist,19.0,Boston,103569.9
45.0,Male,Bachelor's,Marketing Manager,17.7,Austin,101026.63
42.0,Male,Bachelor's,Research Scientist,12.0,Denver,108090.79
60.0,Male,Bachelor's,Financial Analyst,22.0,Seattle,135666.03
36.0,Male,Bachelor's,Software Engineer,9.4,Denver,104485.24
28.0,Female,Bachelor's,Financial Analyst,0.1,Chicago,66427.15
37.0,Female,Master's,HR Manager,11.8,San Francisco,109255.75
34.0,Female,Bachelor's,Sales Executive,5.5,Denver,74294.98
25.0,,Bachelor's,Product Manager,1.8,Austin,78529.64
28.0,Male,Master's,Project Manager,2.0,Denver,94268.61
21.0,Female,Bachelor's,Financial Analyst,0.0,New York,74622.76
31.0,Male,Bachelor's,Customer Support Specialist,0.0,Austin,60478.58
21.0,Male,Bachelor's,DevOps Engineer,0.0,Seattle,85897.43
23.0,Male,High School,Operations Manager,0.0,Remote,51052.88
21.0,Male,Master's,Research Scientist,0.0,Chicago,93209.06
21.0,Female,Master's,Software Engineer,0.0,Austin,90665.15
26.0,Male,Master's,Software Engineer,1.5,Denver,86984.37
34.0,Male,Bachelor's,Marketing Manager,7.7,New York,94372.73
44.0,Male,High School,Software Engineer,13.5,Remote,94450.4
21.0,Female,Bachelor's,Marketing Manager,0.0,Austin,68649.69
36.0,Male,PhD,Project Manager,12.2,Seattle,144669.58
24.0,Female,Bachelor's,Product Manager,3.0,Atlanta,86283.0
51.0,Male,Bachelor's,HR Manager,21.1,New York,124251.09
35.0,,Bachelor's,UX Designer,7.3,Denver,76558.44
35.0,Male,Bachelor's,UX Designer,8.0,Chicago,82735.24
33.0,Male,Master's,DevOps Engineer,12.0,Atlanta,111060.78
34.0,Male,High School,HR Manager,4.1,Denver,48151.94
,Male,Master's,Data Scientist,2.8,Denver,105994.26
49.0,Male,PhD,Product Manager,22.1,Austin,180283.57
,Female,Master's,Data Scientist,9.0,Denver,111181.73
29.0,Female,Bachelor's,Project Manager,4.7,New York,96243.01
34.0,Male,Master's,Data Scientist,6.3,Denver,100573.08
28.0,Female,PhD,Data Analyst,7.0,Denver,108554.34
39.0,Male,Master's,Financial Analyst,,San Francisco,118782.21
31.0,Female,Bachelor's,DevOps Engineer,4.2,New York,109064.25
42.0,Male,Master's,Marketing Manager,8.1,Boston,88096.45
21.0,Female,Master's,Operations Manager,0.0,Chicago,84318.93
39.0,Female,Bachelor's,Data Analyst,13.8,New York,97483.04
39.0,Female,Master's,UX Designer,7.6,Austin,93145.64
21.0,Male,Bachelor's,Project Manager,0.0,Atlanta,75601.25
42.0,Male,High School,Operations Manager,6.9,New York,96364.01
40.0,Male,Bachelor's,Operations Manager,10.4,Atlanta,92441.18
22.0,Male,Bachelor's,Financial Analyst,0.0,Boston,73393.16
24.0,Female,Master's,Research Scientist,0.5,Remote,80425.65
43.0,Male,Bachelor's,Marketing Manager,10.2,New York,90396.34
30.0,Female,Master's,Marketing Manager,2.5,Denver,76171.22
50.0,Male,Bachelor's,Software Engineer,18.8,Remote,119610.89
43.0,Female,Bachelor's,Software Engineer,11.9,Remote,108351.84
36.0,Male,Master's,UX Designer,11.5,Boston,124425.75
24.0,Female,Master's,Customer Support Specialist,3.0,Austin,87522.59
27.0,Male,Bachelor's,Operations Manager,0.0,Boston,78401.13
39.0,Female,Bachelor's,Operations Manager,6.5,Austin,93510.51
33.0,Female,PhD,Data Analyst,9.5,Seattle,131990.68
32.0,Female,Master's,Customer Support Specialist,9.9,Atlanta,90248.09
39.0,Male,Bachelor's,HR Manager,14.9,Atlanta,88094.16
28.0,Female,Bachelor's,UX Designer,4.7,San Francisco,107407.36
40.0,Female,High School,UX Designer,14.4,Chicago,82404.04
27.0,Male,Bachelor's,Business Analyst,6.0,San Francisco,96673.55
24.0,Female,Bachelor's,Research Scientist,0.0,San Francisco,92234.57
35.0,Male,High School,Customer Support Specialist,3.3,Atlanta,52951.36
24.0,Male,Bachelor's,Project Manager,0.0,Boston,80509.85
33.0,Female,High School,Software Engineer,6.6,Remote,65473.36
42.0,Male,Master's,Sales Executive,9.3,New York,114642.97
35.0,Female,Master's,Software Engineer,3.7,Chicago,91151.04
26.0,Female,Master's,Project Manager,5.0,Atlanta,92838.1
36.0,Male,Master's,Product Manager,10.0,Atlanta,117017.67
31.0,Male,Bachelor's,Project Manager,3.0,Chicago,92237.82
21.0,Male,High School,Data Scientist,0.0,Atlanta,74551.8
48.0,Female,High School,Data Analyst,12.9,San Francisco,95851.8
22.0,Female,High School,HR Manager,0.0,Remote,28253.24
22.0,Male,Bachelor's,Software Engineer,0.0,San Francisco,101029.12
21.0,Male,Bachelor's,Project Manager,0.0,Austin,60541.8
40.0,Female,Master's,Customer Support Specialist,8.0,San Francisco,112840.72
38.0,Male,Bachelor's,Data Scientist,9.0,Denver,106433.67
37.0,Male,Master's,Software Engineer,8.3,Seattle,117797.1
31.0,,Bachelor's,Data Analyst,1.6,Remote,69866.31
28.0,Female,PhD,UX Designer,6.2,Austin,112630.13
36.0,Male,PhD,Data Scientist,5.5,Chicago,123542.22
30.0,Female,Bachelor's,Product Manager,9.0,Denver,103229.58
27.0,Male,High School,Data Analyst,4.0,New York,74640.78
42.0,Female,Bachelor's,UX Designer,12.1,Boston,96581.28
32.0,Female,Bachelor's,Research Scientist,3.8,Remote,87941.36
45.0,Male,High School,Customer Support Specialist,11.5,Seattle,68709.79
25.0,Male,Master's,Marketing Manager,4.0,Remote,84202.82
21.0,Male,High School,UX Designer,0.0,Austin,53540.67
44.0,Female,PhD,Data Scientist,5.2,New York,137690.9
27.0,Male,Master's,Data Scientist,0.0,San Francisco,114273.92
49.0,Male,Bachelor's,HR Manager,14.3,Austin,93460.55
48.0,Male,Bachelor's,Research Scientist,12.3,San Francisco,116965.95
48.0,Male,Bachelor's,Financial Analyst,15.2,Seattle,105169.75
51.0,Female,Bachelor's,Data Analyst,17.7,Remote,90353.97
29.0,Female,Bachelor's,DevOps Engineer,8.0,Boston,99948.9
28.0,Male,Bachelor's,Sales Executive,5.4,New York,86968.93
33.0,Female,PhD,Project Manager,8.4,Remote,111444.89
36.0,Female,Bachelor's,Data Scientist,7.2,Seattle,103519.43
39.0,Female,High School,Customer Support Specialist,7.1,New York,64790.53
27.0,Male,Master's,Software Engineer,2.9,Atlanta,87063.07
45.0,,Bachelor's,Sales Executive,10.3,Boston,79986.03
34.0,Male,Bachelor's,Research Scientist,5.8,Seattle,108968.63
41.0,Female,High School,Business Analyst,12.3,Remote,62477.36
35.0,Male,Master's,Project Manager,5.1,Remote,103199.11
36.0,Female,Master's,HR Manager,9.6,Boston,106524.89
33.0,Male,Bachelor's,Customer Support Specialist,12.0,Denver,84253.53
44.0,Male,Bachelor's,Project Manager,14.2,New York,128174.64
,Female,Bachelor's,DevOps Engineer,20.5,Boston,127602.32
50.0,Female,Master's,Customer Support Specialist,20.8,Remote,118748.93
44.0,Female,Bachelor's,Sales Executive,15.1,Remote,83453.16
32.0,Female,PhD,Research Scientist,6.9,Remote,115148.58
33.0,Female,Bachelor's,Operations Manager,10.6,Seattle,96313.65
43.0,Female,Master's,HR Manager,14.6,Atlanta,103724.48
39.0,Female,Bachelor's,Customer Support Specialist,7.3,San Francisco,85864.35
32.0,Male,High School,Research Scientist,5.5,Seattle,83833.59
